twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size    12781, 9602667 req, miss ratio 0.4764, byte miss ratio 0.4764
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size    42605, 9602667 req, miss ratio 0.4635, byte miss ratio 0.4635
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size   127815, 9602667 req, miss ratio 0.4536, byte miss ratio 0.4536
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-1.6000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size     4260, 9602667 req, miss ratio 0.4788, byte miss ratio 0.4788
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size    42605, 9602667 req, miss ratio 0.4640, byte miss ratio 0.4640
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   127815, 9602667 req, miss ratio 0.4540, byte miss ratio 0.4540
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   426050, 9602667 req, miss ratio 0.4461, byte miss ratio 0.4461
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.1000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size    12781, 9602667 req, miss ratio 0.4764, byte miss ratio 0.4764
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size    42605, 9602667 req, miss ratio 0.4635, byte miss ratio 0.4635
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size   127815, 9602667 req, miss ratio 0.4536, byte miss ratio 0.4536
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.2500-0.7000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size    12781, 9602667 req, miss ratio 0.4763, byte miss ratio 0.4763
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.1000-0.1000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size    12781, 9602667 req, miss ratio 0.4762, byte miss ratio 0.4762
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0500-1.7000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size     4260, 9602667 req, miss ratio 0.4788, byte miss ratio 0.4788
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size    42605, 9602667 req, miss ratio 0.4640, byte miss ratio 0.4640
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   127815, 9602667 req, miss ratio 0.4540, byte miss ratio 0.4540
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   426050, 9602667 req, miss ratio 0.4461, byte miss ratio 0.4461
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.7000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size     4260, 9602667 req, miss ratio 0.4788, byte miss ratio 0.4788
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size    42605, 9602667 req, miss ratio 0.4640, byte miss ratio 0.4640
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size   127815, 9602667 req, miss ratio 0.4540, byte miss ratio 0.4540
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size   426050, 9602667 req, miss ratio 0.4461, byte miss ratio 0.4461
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.6500-1.2000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size    12781, 9602667 req, miss ratio 0.4765, byte miss ratio 0.4765
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size    42605, 9602667 req, miss ratio 0.4637, byte miss ratio 0.4637
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size   127815, 9602667 req, miss ratio 0.4538, byte miss ratio 0.4538
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.4500-0.1000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size     4260, 9602667 req, miss ratio 0.4804, byte miss ratio 0.4804
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size    12781, 9602667 req, miss ratio 0.4757, byte miss ratio 0.4757
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size   127815, 9602667 req, miss ratio 0.4534, byte miss ratio 0.4534
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0010-2.0000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size     4260, 9602667 req, miss ratio 0.4789, byte miss ratio 0.4789
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    12781, 9602667 req, miss ratio 0.4766, byte miss ratio 0.4766
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size    42605, 9602667 req, miss ratio 0.4643, byte miss ratio 0.4643
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   127815, 9602667 req, miss ratio 0.4542, byte miss ratio 0.4542
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   426050, 9602667 req, miss ratio 0.4462, byte miss ratio 0.4462
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size   852100, 9602667 req, miss ratio 0.4438, byte miss ratio 0.4438
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.9000-1.9000 cache size  3408400, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size     4260, 9602667 req, miss ratio 0.4790, byte miss ratio 0.4790
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size    12781, 9602667 req, miss ratio 0.4761, byte miss ratio 0.4761
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size    42605, 9602667 req, miss ratio 0.4634, byte miss ratio 0.4634
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size   127815, 9602667 req, miss ratio 0.4535, byte miss ratio 0.4535
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size   426050, 9602667 req, miss ratio 0.4460, byte miss ratio 0.4460
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size   852100, 9602667 req, miss ratio 0.4439, byte miss ratio 0.4439
twemcache_video_spam_cache.0.oracleGeneral.sample10.zst S3FIFO-0.0250-1.0000 cache size  1704200, 9602667 req, miss ratio 0.4437, byte miss ratio 0.4437
