cdn1_colo28.ns312 S3FIFO-0.0500-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.0010-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.0010-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.7000-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.2500-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.2500-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.5500-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.3000-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size     1148, 10383558 req, miss ratio 0.1117, byte miss ratio 0.1117
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size     3446, 10383558 req, miss ratio 0.1111, byte miss ratio 0.1111
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size    11487, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size   114871, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size   459486, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.9900-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.5000-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size     1148, 10383558 req, miss ratio 0.1112, byte miss ratio 0.1112
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size   114871, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size   459486, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.9000-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1112, byte miss ratio 0.1112
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size   114871, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size   459486, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.9000-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.2000-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size     1148, 10383558 req, miss ratio 0.1159, byte miss ratio 0.1159
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size     3446, 10383558 req, miss ratio 0.1112, byte miss ratio 0.1112
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size    11487, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.0050-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.5000-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.1500-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size     1148, 10383558 req, miss ratio 0.1295, byte miss ratio 0.1295
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size     3446, 10383558 req, miss ratio 0.1205, byte miss ratio 0.1205
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size    11487, 10383558 req, miss ratio 0.1117, byte miss ratio 0.1117
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.0010-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.6000-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size     1148, 10383558 req, miss ratio 0.1111, byte miss ratio 0.1111
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size   459486, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.8000-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.4500-1.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.4500-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size   114871, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size   459486, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.7000-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size     1148, 10383558 req, miss ratio 0.1111, byte miss ratio 0.1111
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size   114871, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size   229743, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size   459486, 10383558 req, miss ratio 0.1107, byte miss ratio 0.1107
cdn1_colo28.ns312 S3FIFO-0.8500-0.9000 cache size   918972, 10383558 req, miss ratio 0.1106, byte miss ratio 0.1106
cdn1_colo28.ns312 S3FIFO-0.1000-1.9000 cache size     1148, 10383558 req, miss ratio 0.1110, byte miss ratio 0.1110
cdn1_colo28.ns312 S3FIFO-0.1000-1.9000 cache size     3446, 10383558 req, miss ratio 0.1109, byte miss ratio 0.1109
cdn1_colo28.ns312 S3FIFO-0.1000-1.9000 cache size    11487, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
cdn1_colo28.ns312 S3FIFO-0.1000-1.9000 cache size    34461, 10383558 req, miss ratio 0.1108, byte miss ratio 0.1108
