cdn1_allcolo.ns771 S3FIFO-0.8000-0.9000 cache size       30, 7110149 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns771 S3FIFO-0.7500-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.7500-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.7500-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.7500-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.7500-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size       90, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size      902, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0500-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.3000-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.5000-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size       30, 7110149 req, miss ratio 0.0054, byte miss ratio 0.0054
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size       90, 7110149 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size      300, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size     3007, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.9500-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.5000-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size       30, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size       90, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size      902, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0100-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size       30, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size       90, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size      902, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0050-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size       30, 7110149 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size       90, 7110149 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size      300, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.9000-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size       30, 7110149 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.6500-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.3000-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.4500-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size       30, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size       90, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size      902, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0250-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.6000-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size       30, 7110149 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.7000-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.3500-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.6000-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.4000-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size       30, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size       90, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size      300, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size      902, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0010-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size       90, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.2000-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size       30, 7110149 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size       90, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size      902, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.0250-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size       30, 7110149 req, miss ratio 0.0052, byte miss ratio 0.0052
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size       90, 7110149 req, miss ratio 0.0050, byte miss ratio 0.0050
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size      300, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.8000-1.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size       30, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size       90, 7110149 req, miss ratio 0.0049, byte miss ratio 0.0049
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size      300, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size      902, 7110149 req, miss ratio 0.0046, byte miss ratio 0.0046
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size     3007, 7110149 req, miss ratio 0.0044, byte miss ratio 0.0044
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 S3FIFO-0.4500-0.9000 cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
cdn1_allcolo.ns771 FIFO cache size       30, 7110149 req, miss ratio 0.0055, byte miss ratio 0.0055
cdn1_allcolo.ns771 FIFO cache size       90, 7110149 req, miss ratio 0.0051, byte miss ratio 0.0051
cdn1_allcolo.ns771 FIFO cache size      300, 7110149 req, miss ratio 0.0048, byte miss ratio 0.0048
cdn1_allcolo.ns771 FIFO cache size      902, 7110149 req, miss ratio 0.0047, byte miss ratio 0.0047
cdn1_allcolo.ns771 FIFO cache size     3007, 7110149 req, miss ratio 0.0045, byte miss ratio 0.0045
cdn1_allcolo.ns771 FIFO cache size     6014, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 FIFO cache size    12028, 7110149 req, miss ratio 0.0043, byte miss ratio 0.0043
cdn1_allcolo.ns771 FIFO cache size    24056, 7110149 req, miss ratio 0.0042, byte miss ratio 0.0042
