cdn1_allcolo.ns2957 S3FIFO-0.0100-1.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-1.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.8500-1.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.7000-0.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0250-0.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.5000-1.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.9900-1.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.2000-1.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.3000-0.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.0050-1.9000 cache size   822093, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size     1027, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size     3082, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size    10276, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size    30828, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size   102761, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size   205523, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
cdn1_allcolo.ns2957 S3FIFO-0.4500-0.9000 cache size   411046, 1039294 req, miss ratio 0.9888, byte miss ratio 0.9888
