cdn1_allcolo.ns5 S3FIFO-0.0010-1.9000 cache size      444, 618750607 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5 S3FIFO-0.7500-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size      444, 618750607 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.5500-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size      444, 618750607 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size     1333, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size      444, 618750607 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size      444, 618750607 req, miss ratio 1.0000, byte miss ratio 1.0000
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0010-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.1000-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size      444, 618750607 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size     1333, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7000-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0100-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size      444, 618750607 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6500-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0500-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2500-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size      444, 618750607 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.4000-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3500-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size      444, 618750607 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size     1333, 618750607 req, miss ratio 0.0009, byte miss ratio 0.0009
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size     4443, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.9500-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size      444, 618750607 req, miss ratio 0.0012, byte miss ratio 0.0012
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size     1333, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.8000-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size      444, 618750607 req, miss ratio 0.0011, byte miss ratio 0.0011
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size     1333, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.7500-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size      444, 618750607 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.6000-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.0250-1.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.2000-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size      444, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size     1333, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size     4443, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size    13330, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 S3FIFO-0.3000-0.9000 cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 FIFO cache size      444, 618750607 req, miss ratio 0.0014, byte miss ratio 0.0014
cdn1_allcolo.ns5 FIFO cache size     1333, 618750607 req, miss ratio 0.0010, byte miss ratio 0.0010
cdn1_allcolo.ns5 FIFO cache size     4443, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 FIFO cache size    13330, 618750607 req, miss ratio 0.0008, byte miss ratio 0.0008
cdn1_allcolo.ns5 FIFO cache size    44436, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 FIFO cache size    88872, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 FIFO cache size   177744, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
cdn1_allcolo.ns5 FIFO cache size   355488, 618750607 req, miss ratio 0.0007, byte miss ratio 0.0007
