geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.1500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8000-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.8500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 39865552, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.5500-0.9000 cache size 79731105, 100475580 req, miss ratio 0.9919, byte miss ratio 0.9919
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size    99663, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   298991, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size   996638, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  2989916, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size  9966388, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
geolocationservice_cache.1.oracleGeneral.sample10.zst S3FIFO-0.9900-0.9000 cache size 19932776, 100475580 req, miss ratio 0.9920, byte miss ratio 0.9920
