serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   116589, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size   349768, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  1165895, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size  3497685, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size 11658952, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size 23317904, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size 46635809, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0250-1.9000 cache size 93271619, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   116589, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size   349768, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  1165895, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size  3497685, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 11658952, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 23317904, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 46635809, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0050-0.9000 cache size 93271619, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   116589, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size   349768, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  1165895, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size  3497685, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 11658952, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 23317904, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 46635809, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.3500-1.9000 cache size 93271619, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   116589, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size   349768, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  1165895, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size  3497685, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 11658952, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 23317904, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 46635809, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.0100-0.9000 cache size 93271619, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   116589, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size   349768, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  1165895, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size  3497685, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 11658952, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 23317904, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
serving_from_bidder_cache.1.oracleGeneral.sample10.zst S3FIFO-0.7000-1.9000 cache size 46635809, 124202100 req, miss ratio 0.9387, byte miss ratio 0.9387
