cdn1_colo28.ns2569 S3FIFO-0.8000-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.3000-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.3000-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.3000-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.3000-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.3000-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.3000-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5000-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0100-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4000-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0500-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.9000-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0010-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0050-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7500-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.7000-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.5500-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size     3365, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-0.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.8500-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.0250-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.6000-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.2500-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size     3365, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size    11219, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size    33657, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size   112191, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size   224383, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size   448767, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.1000-1.9000 cache size   897535, 1150197 req, miss ratio 0.9754, byte miss ratio 0.9754
cdn1_colo28.ns2569 S3FIFO-0.4500-1.9000 cache size     1121, 1150197 req, miss ratio 0.9755, byte miss ratio 0.9755
